iter	Passed	Remaining
912	3604	343
913	3605	339
914	3607	335
915	3608	330
916	3609	326
917	3610	322
918	3611	318
919	3613	314
920	3614	310
921	3615	305
922	3616	301
923	3618	297
924	3619	293
925	3620	289
926	3621	285
927	3623	281
928	3624	277
929	3625	272
930	3627	268
931	3628	264
932	3629	260
933	3631	256
934	3632	252
935	3633	248
936	3635	244
937	3636	240
938	3638	236
939	3639	232
940	3640	228
941	3642	224
942	3643	220
943	3644	216
944	3645	212
945	3647	208
946	3648	204
947	3649	200
948	3651	196
949	3652	192
950	3653	188
951	3654	184
952	3656	180
953	3657	176
954	3658	172
955	3660	168
956	3661	164
957	3662	160
958	3663	156
959	3665	152
960	3666	148
961	3667	144
962	3668	140
963	3669	137
964	3671	133
965	3672	129
966	3673	125
967	3674	121
968	3675	117
969	3676	113
970	3678	109
971	3679	105
972	3680	102
973	3681	98
974	3682	94
975	3684	90
976	3685	86
977	3686	82
978	3688	79
979	3689	75
980	3691	71
981	3692	67
982	3693	63
983	3695	60
984	3696	56
985	3697	52
986	3699	48
987	3700	44
988	3701	41
989	3703	37
990	3704	33
991	3705	29
992	3707	26
993	3708	22
994	3709	18
995	3711	14
996	3712	11
997	3713	7
998	3715	3
999	3716	0
